x;y;label;;;
-0.136675126;-0.133892555;c;;;
-0.045826762;-0.174806325;c;;;
-0.17718338;-0.051849017;c;;;
-0.054975083;0.181466074;c;;;
-0.140511722;0.122930864;c;;;
-0.166651497;0.057398209;c;;;
0.019046405;-0.164080329;c;;;
0.027185791;0.166804059;c;;;
0.216071514;-0.003626949;c;;;
0.195253262;0.00342969;c;;;
0.185609529;-0.02037226;c;;;
0.18174656;0.024736275;c;;;
0.159815864;-0.033494488;c;;;
0.154565431;0.037939736;c;;;
-0.099287093;-0.026945195;c;;;
0.125078312;-0.033962842;c;;;
0.118143196;0.039202482;c;;;
0.091287774;-0.02017511;c;;;
0.082045475;0.025190421;c;;;
-0.065478896;-0.000132236;c;;;
-0.057284192;-0.000385202;c;;;
0.067791792;-0.000608323;c;;;
-0.043505395;-0.001118301;c;;;
0.055492121;0.008129413;c;;;
0.022682673;0.030522248;c;;;
0.037476769;0.007741572;c;;;
-0.030683254;-0.002849711;c;;;
-0.014500388;-0.003475114;c;;;
0.014056405;0.004447222;c;;;
-0.136675129;-0.133892463;a;;;
-0.177183468;-0.05184897;a;;;
-0.054975038;0.181465984;a;;;
-0.140511765;0.122930783;a;;;
-0.16665153;0.057398078;a;;;
-0.045826569;-0.17480617;a;;;
0.019046397;-0.164079649;a;;;
0.027185801;0.166803573;a;;;
0.216027694;-0.003464084;a;;;
-0.099286239;-0.026945025;a;;;
0.187556203;0.000183728;a;;;
0.172221016;-0.019060623;a;;;
0.171721743;0.018561703;a;;;
0.171107496;0.000624857;a;;;
0.139716273;-0.026577912;a;;;
0.139809756;0.025411194;a;;;
0.104415697;-0.017812064;a;;;
0.10513063;0.014799839;a;;;
-0.065469585;-8.74E-05;a;;;
-0.057282659;-0.00013022;a;;;
0.084624466;-0.002383913;a;;;
0.06951598;-0.003487646;a;;;
-0.043426556;0.000365631;a;;;
0.022677527;0.030511974;a;;;
0.05056563;-0.00385909;a;;;
-0.030246404;0.001848647;a;;;
0.031729308;-0.001793898;a;;;
-0.013267125;0.00424952;a;;;
0.00807604;-0.004676078;a;;;
